trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.3, 'e': 0.2789911060392295}",20,11,11.039034998965855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.27144044986507454}",20,12,14.977497028147997,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.26387304996537275}",25,17,14.97738634438402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.25628937313299655}",20,0,-3.305143269155775,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.3, 'e': 0.24868988716485474}",20,0,6.709862822520425,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.3, 'e': 0.24107506083303867}",25,13,10.393937411120973,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.23344536385590547}",25,19,13.007236634853252,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.2258012668691038}",20,14,10.732950422337636,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.2181432413965427}",25,4,35.501564328339384,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.21047175982130584}",25,0,24.91506311276525,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.3, 'e': 0.20278729535651271}",30,15,30.462081674015888,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.19509032201612853}",20,3,29.624425674163216,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.18738131458572474}",20,16,7.779999678193843,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.17966074859319248}",30,18,16.729185807722146,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.17192910027940952}",25,8,5.888445628520603,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.16418684656886295}",25,14,0.30949997116415595,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.15643446504023092}",20,12,3.4159160066457286,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.14867243389692308}",20,16,9.809635577091878,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.1409012319375828}",20,9,21.092806309122764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.13312133852655256}",20,10,15.856179157529084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.12533323356430448}",20,1,15.113464632738717,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.1175373974578377}",20,14,11.63275427577176,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.10973431109104537}",20,4,21.970383912469003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.10192445579504997}",25,11,26.447956689479508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.09410831331851428}",20,2,14.515558499191123,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.08628636579792338}",20,13,12.722273307953046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.078459095727845}",25,13,21.130639645266033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.07062698593116679}",25,12,26.200204296546076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.06279051952931353}",20,14,10.798370470274898,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.05495017991244594}",30,12,33.367200747157796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.04710645070964268}",20,12,18.409917562909506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.039259815759068666}",20,10,4.891670387724998,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.3, 'e': 0.031410759078128396}",30,16,24.723228685136256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.3, 'e': 0.023559764833610303}",20,9,19.65735320242675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.3, 'e': 0.015707317311820648}",25,8,32.595345207423755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.00785390088871135}",30,19,20.498826930837495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 6.123233995736766e-17}",20,12,18.299254725878548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,7.659148392442549,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,20,18.729864387009734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,19.230421653289174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,24.718643429770346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,25.426162987236644,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,11.062346117037642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,16.04794252755178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,9,48.67703436305663,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,12,31.022194274727575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,1,40.651811166468406,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,17,17.231082458267792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,8,19.904356814958472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,9,20.20674318140458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,12.701793312866366,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,24.281503161555182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,14,10.285163631015422,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,15,28.201512134160254,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,20,18.360636270233446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,23,14.622971457550193,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,16,15.693160682139997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
